Date__(UT)__HR:MN, , ,R.A._(ICRF),DEC_(ICRF),delta,deldot,
 2022-Apr-28 00:00, , ,   304.59225,  -21.45027,  1.40213530993425, -1.2760989,
 2022-Apr-29 00:00, , ,   305.23828,  -21.31561,  1.40140412271041, -1.2559008,
 2022-Apr-30 00:00, , ,   305.88378,  -21.17834,  1.40068464926395, -1.2355358,
 2022-May-01 00:00, , ,   306.52873,  -21.03849,  1.39997698533907, -1.2150061,
 2022-May-02 00:00, , ,   307.17311,  -20.89606,  1.39928122538630, -1.1943141,
 2022-May-03 00:00, , ,   307.81689,  -20.75107,  1.39859746253628, -1.1734619,
 2022-May-04 00:00, , ,   308.46004,  -20.60355,  1.39792578857479, -1.1524520,
 2022-May-05 00:00, , ,   309.10255,  -20.45352,  1.39726629391910, -1.1312867,
 2022-May-06 00:00, , ,   309.74440,  -20.30098,  1.39661906759427, -1.1099686,
 2022-May-07 00:00, , ,   310.38557,  -20.14597,  1.39598419720840, -1.0885000,
 2022-May-08 00:00, , ,   311.02603,  -19.98849,  1.39536176892770, -1.0668834,
 2022-May-09 00:00, , ,   311.66577,  -19.82859,  1.39475186745268, -1.0451214,
 2022-May-10 00:00, , ,   312.30476,  -19.66626,  1.39415457599520, -1.0232167,
 2022-May-11 00:00, , ,   312.94299,  -19.50154,  1.39356997625499, -1.0011718,
 2022-May-12 00:00, , ,   313.58044,  -19.33445,  1.39299814839579, -0.9789895,
 2022-May-13 00:00, , ,   314.21710,  -19.16501,  1.39243917102235, -0.9566725,
 2022-May-14 00:00, , ,   314.85295,  -18.99324,  1.39189312115893, -0.9342234,
 2022-May-15 00:00, , ,   315.48797,  -18.81917,  1.39136007422811, -0.9116452,
 2022-May-16 00:00, , ,   316.12214,  -18.64282,  1.39084010402863, -0.8889406,
 2022-May-17 00:00, , ,   316.75546,  -18.46421,  1.39033328271268, -0.8661125,
 2022-May-18 00:00, , ,   317.38791,  -18.28338,  1.38983968076421, -0.8431638,
 2022-May-19 00:00, , ,   318.01948,  -18.10034,  1.38935936697873, -0.8200974,
 2022-May-20 00:00, , ,   318.65015,  -17.91513,  1.38889240844385, -0.7969164,
 2022-May-21 00:00, , ,   319.27992,  -17.72776,  1.38843887051926, -0.7736238,
 2022-May-22 00:00, , ,   319.90877,  -17.53826,  1.38799881681646, -0.7502225,
 2022-May-23 00:00, , ,   320.53669,  -17.34667,  1.38757230917943, -0.7267157,
 2022-May-24 00:00, , ,   321.16367,  -17.15300,  1.38715940766644, -0.7031064,
 2022-May-25 00:00, , ,   321.78970,  -16.95729,  1.38676017053193, -0.6793978,
 2022-May-26 00:00, , ,   322.41478,  -16.75956,  1.38637465420770, -0.6555932,
 2022-May-27 00:00, , ,   323.03890,  -16.55985,  1.38600291328476, -0.6316956,
 2022-May-28 00:00, , ,   323.66204,  -16.35817,  1.38564500049698, -0.6077083,
 2022-May-29 00:00, , ,   324.28421,  -16.15456,  1.38530096670589, -0.5836346,
 2022-May-30 00:00, , ,   324.90539,  -15.94905,  1.38497086088506, -0.5594777,
 2022-May-31 00:00, , ,   325.52559,  -15.74167,  1.38465473010371, -0.5352410,
 2022-Jun-01 00:00, , ,   326.14479,  -15.53244,  1.38435261951086, -0.5109277,
 2022-Jun-02 00:00, , ,   326.76300,  -15.32140,  1.38406457232126, -0.4865413,
 2022-Jun-03 00:00, , ,   327.38021,  -15.10858,  1.38379062980237, -0.4620851,
 2022-Jun-04 00:00, , ,   327.99641,  -14.89401,  1.38353083126136, -0.4375626,
 2022-Jun-05 00:00, , ,   328.61160,  -14.67771,  1.38328521403202, -0.4129772,
 2022-Jun-06 00:00, , ,   329.22579,  -14.45972,  1.38305381346256, -0.3883323,
 2022-Jun-07 00:00, , ,   329.83897,  -14.24007,  1.38283666290486, -0.3636314,
 2022-Jun-08 00:00, , ,   330.45113,  -14.01879,  1.38263379370413, -0.3388779,
 2022-Jun-09 00:00, , ,   331.06229,  -13.79591,  1.38244523518814, -0.3140754,
 2022-Jun-10 00:00, , ,   331.67244,  -13.57147,  1.38227101465657, -0.2892274,
 2022-Jun-11 00:00, , ,   332.28157,  -13.34550,  1.38211115737208, -0.2643374,
 2022-Jun-12 00:00, , ,   332.88970,  -13.11802,  1.38196568655324, -0.2394090,
 2022-Jun-13 00:00, , ,   333.49683,  -12.88907,  1.38183462336781, -0.2144457,
 2022-Jun-14 00:00, , ,   334.10295,  -12.65868,  1.38171798692535, -0.1894511,
 2022-Jun-15 00:00, , ,   334.70806,  -12.42689,  1.38161579426985, -0.1644288,
 2022-Jun-16 00:00, , ,   335.31218,  -12.19373,  1.38152806037405, -0.1393823,
 2022-Jun-17 00:00, , ,   335.91531,  -11.95922,  1.38145479813506, -0.1143153,
 2022-Jun-18 00:00, , ,   336.51745,  -11.72341,  1.38139601837036, -0.0892313,
 2022-Jun-19 00:00, , ,   337.11860,  -11.48632,  1.38135172981372, -0.0641341,
 2022-Jun-20 00:00, , ,   337.71877,  -11.24799,  1.38132193911202, -0.0390272,
 2022-Jun-21 00:00, , ,   338.31796,  -11.00845,  1.38130665082364, -0.0139142,
 2022-Jun-22 00:00, , ,   338.91619,  -10.76774,  1.38130586741774,  0.0112014,
 2022-Jun-23 00:00, , ,   339.51345,  -10.52589,  1.38131958927323,  0.0363157,
 2022-Jun-24 00:00, , ,   340.10976,  -10.28292,  1.38134781467750,  0.0614253,
 2022-Jun-25 00:00, , ,   340.70512,  -10.03888,  1.38139053982630,  0.0865265,
 2022-Jun-26 00:00, , ,   341.29953,   -9.79380,  1.38144775882584,  0.1116157,
 2022-Jun-27 00:00, , ,   341.89301,   -9.54771,  1.38151946369591,  0.1366893,
 2022-Jun-28 00:00, , ,   342.48557,   -9.30064,  1.38160564437272,  0.1617436,
 2022-Jun-29 00:00, , ,   343.07721,   -9.05263,  1.38170628871150,  0.1867751,
 2022-Jun-30 00:00, , ,   343.66794,   -8.80371,  1.38182138249024,  0.2117802,
 2022-Jul-01 00:00, , ,   344.25777,   -8.55392,  1.38195090941509,  0.2367554,
 2022-Jul-02 00:00, , ,   344.84670,   -8.30328,  1.38209485112619,  0.2616969,
 2022-Jul-03 00:00, , ,   345.43476,   -8.05183,  1.38225318720333,  0.2866013,
 2022-Jul-04 00:00, , ,   346.02194,   -7.79961,  1.38242589517217,  0.3114650,
 2022-Jul-05 00:00, , ,   346.60827,   -7.54665,  1.38261295051202,  0.3362845,
 2022-Jul-06 00:00, , ,   347.19374,   -7.29297,  1.38281432666474,  0.3610563,
 2022-Jul-07 00:00, , ,   347.77837,   -7.03863,  1.38302999504338,  0.3857768,
 2022-Jul-08 00:00, , ,   348.36218,   -6.78364,  1.38325992503987,  0.4104426,
 2022-Jul-09 00:00, , ,   348.94516,   -6.52804,  1.38350408403316,  0.4350502,
 2022-Jul-10 00:00, , ,   349.52734,   -6.27186,  1.38376243739872,  0.4595961,
