Date__(UT)__HR:MN,R.A._(ICRF),DEC_(ICRF),delta,deldot
 2022-Mar-13 00:00,307.32684,-20.03363,1.921402402,-10.6668098
 2022-Mar-14 00:00,308.10285,-19.86332,1.915244452,-10.6583124
 2022-Mar-15 00:00,308.87758,-19.68971,1.909091607,-10.6491535
 2022-Mar-16 00:00,309.65102,-19.51285,1.90294422,-10.6394325
 2022-Mar-17 00:00,310.42315,-19.33277,1.896802585,-10.6292634
 2022-Mar-18 00:00,311.19396,-19.1495,1.890666923,-10.618773
 2022-Mar-19 00:00,311.96345,-18.96308,1.884537382,-10.608093
 2022-Mar-20 00:00,312.73161,-18.77355,1.878414036,-10.597348
 2022-Mar-21 00:00,313.49842,-18.58095,1.87229689,-10.5866414
 2022-Mar-22 00:00,314.26388,-18.3853,1.866185901,-10.5760428
 2022-Mar-23 00:00,315.02797,-18.18666,1.860080995,-10.5655791
 2022-Mar-24 00:00,315.79069,-17.98506,1.853982099,-10.5552321
 2022-Mar-25 00:00,316.552,-17.78054,1.84788916,-10.544942
 2022-Mar-26 00:00,317.31191,-17.57315,1.841802171,-10.5346145
 2022-Mar-27 00:00,318.07038,-17.36293,1.835721187,-10.5241302
 2022-Mar-28 00:00,318.82741,-17.14993,1.829646337,-10.5133545
 2022-Mar-29 00:00,319.58297,-16.9342,1.82357783,-10.5021487
 2022-Mar-30 00:00,320.33705,-16.71577,1.817515952,-10.4903809
 2022-Mar-31 00:00,321.08963,-16.4947,1.811461063,-10.4779371
 2022-Apr-01 00:00,321.8407,-16.27105,1.805413579,-10.4647293
 2022-Apr-02 00:00,322.59026,-16.04485,1.799373959,-10.4507015
 2022-Apr-03 00:00,323.3383,-15.81615,1.793342686,-10.4358295
 2022-Apr-04 00:00,324.08481,-15.58501,1.787320247,-10.4201176
 2022-Apr-05 00:00,324.82981,-15.35147,1.78130712,-10.4035925
 2022-Apr-06 00:00,325.57328,-15.11559,1.775303763,-10.3862954
 2022-Apr-07 00:00,326.31523,-14.8774,1.769310609,-10.368276
 2022-Apr-08 00:00,327.05568,-14.63695,1.763328058,-10.3495883
 2022-Apr-09 00:00,327.79463,-14.3943,1.757356482,-10.3302883
 2022-Apr-10 00:00,328.53209,-14.14948,1.751396216,-10.3104348
 2022-Apr-11 00:00,329.26808,-13.90256,1.745447562,-10.2900926
 2022-Apr-12 00:00,330.0026,-13.65356,1.739510781,-10.2693361
 2022-Apr-13 00:00,330.73569,-13.40254,1.733586087,-10.2482556
 2022-Apr-14 00:00,331.46735,-13.14955,1.727673637,-10.2269614
 2022-Apr-15 00:00,332.1976,-12.89462,1.721773517,-10.2055861
 2022-Apr-16 00:00,332.92647,-12.63781,1.71588573,-10.1842807
 2022-Apr-17 00:00,333.65397,-12.37916,1.710010191,-10.1632038
 2022-Apr-18 00:00,334.38013,-12.11871,1.704146724,-10.1425027
 2022-Apr-19 00:00,335.10496,-11.85651,1.698295076,-10.1222923
 2022-Apr-20 00:00,335.82848,-11.59261,1.692454944,-10.1026368
 2022-Apr-21 00:00,336.5507,-11.32706,1.686626001,-10.0835415
 2022-Apr-22 00:00,337.27164,-11.0599,1.680807937,-10.0649563
 2022-Apr-23 00:00,337.99129,-10.79119,1.675000482,-10.0467886
 2022-Apr-24 00:00,338.70966,-10.52098,1.669203429,-10.0289196
 2022-Apr-25 00:00,339.42677,-10.24932,1.663416641,-10.0112194
 2022-Apr-26 00:00,340.14261,-9.97627,1.65764006,-9.9935592
 2022-Apr-27 00:00,340.85719,-9.70189,1.651873697,-9.9758191
 2022-Apr-28 00:00,341.57052,-9.42623,1.646117629,-9.9578939
 2022-Apr-29 00:00,342.2826,-9.14934,1.64037199,-9.939697
 2022-Apr-30 00:00,342.99345,-8.87129,1.634636957,-9.9211627
 2022-May-01 00:00,343.70307,-8.59211,1.628912737,-9.9022478
 2022-May-02 00:00,344.41148,-8.31188,1.623199557,-9.8829306
 2022-May-03 00:00,345.1187,-8.03063,1.617497653,-9.8632093
 2022-May-04 00:00,345.82473,-7.74843,1.611807252,-9.843098
 2022-May-05 00:00,346.52961,-7.46533,1.606128574,-9.8226229
 2022-May-06 00:00,347.23335,-7.18137,1.60046182,-9.8018185
 2022-May-07 00:00,347.93597,-6.89661,1.594807167,-9.7807249
 2022-May-08 00:00,348.63749,-6.61109,1.58916477,-9.7593869
 2022-May-09 00:00,349.33795,-6.32487,1.583534757,-9.7378546
 2022-May-10 00:00,350.03736,-6.03799,1.577917222,-9.716187
